AuthorName,Age,Nationality,email,ArticleTitle,YearPublished,ConferenceName,Location,ISBN,DOI,Volume,Npages,Edition,keyword1,keyword2,keyword3,keyword4
Sanjeev Saxena,47,Finnish,Sa13@gmail.com,Parallel Integer Sorting and Simulation Amongst CRCW Models.,1996,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Sanjeev Saxena,47,Finnish,Sa13@gmail.com,Pattern Matching in Trees and Nets.,1983,Nucleic Acids Research,Germany,566-2-10-100502-8,2.8449/1001031031061503,79,71,8,sequence alignment,gene finding,genome assembly,drug design
Sanjeev Saxena,47,Finnish,Sa13@gmail.com,On the Power of Chain Rules in Context Free Grammars.,1982,AAAI Conference on Artificial Intelligence,Israel,114-1-2-100068-3,9.4627/1141161181058171,67,108,6,Machine Learning,Deep learning,NPL,Reinforcement Learning
Hans Ulrich Simon,53,Finnish,Ha11@gmail.com,Pattern Matching in Trees and Nets.,1983,Annual Conference on Neural Information Processing Systems,Brazil,437-2-12-100288-0,1.7913/103109114976672,57,159,2,Machine Learning,Deep learning,NPL,Reinforcement Learning
Hans Ulrich Simon,53,Finnish,Ha11@gmail.com,On the Power of Chain Rules in Context Free Grammars.,1982,IEEE Transactions on Cybernetics,Italy,222-4-14-100311-5,5.6164/11611197995254,78,117,4,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Nathan Goodman,39,Mexican,Na5@gmail.com,NP-complete Problems Simplified on Tree Schemas.,1983,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Nathan Goodman,39,Mexican,Na5@gmail.com,On the Power of Chain Rules in Context Free Grammars.,1982,IEEE Conference on Computer Vision and Pattern Recognition,Israel,208-1-1-100197-6,1.6572/11011997118516,19,59,21,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Oded Shmueli,30,Scottish,Od16@gmail.com,A characterization of rational D0L power series.,2011,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Oded Shmueli,30,Scottish,Od16@gmail.com,The Derivation of Systolic Implementations of Programs.,1987,International Conference on Computer Vision,Australia,789-8-0-100595-4,3.8268/114106971112461,53,166,28,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Norbert Blum,57,British,No5@gmail.com,A characterization of rational D0L power series.,2011,NeuroImage,Netherlands,358-5-8-100034-7,4.5742/1151041131209445,67,95,7,sequence alignment,gene finding,genome assembly,drug design
Norbert Blum,57,British,No5@gmail.com,The Derivation of Systolic Implementations of Programs.,1987,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Norbert Blum,57,British,No5@gmail.com,Fifo Nets Without Order Deadlock.,1988,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
Juha Honkala,31,German,Ju1@gmail.com,Fifo Nets Without Order Deadlock.,1988,IEEE Transactions on Neural Networks and Learning Systems,Russia,253-5-13-100302-5,7.7955/1101221211108518,83,88,12,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Juha Honkala,31,German,Ju1@gmail.com,On the Complementation Rule for Multivalued Dependencies in Database Relations.,1978,IEEE Transactions on Neural Networks and Learning Systems,Israel,841-0-19-100447-0,0.5555/1081171011067451,78,139,8,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Juha Honkala,31,German,Ju1@gmail.com,Equational weighted tree transformations.,2012,IEEE Transactions on Neural Networks and Learning Systems,Sweden,830-4-12-100040-4,5.224/1161081101111772,74,114,28,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Juha Honkala,31,German,Ju1@gmail.com,Merged processes: a new condensed representation of Petri net behaviour.,2006,IEEE Transactions on Neural Networks and Learning Systems,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Chua-Huang Huang,59,Scottish,Ch9@gmail.com,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,2013,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Christian Lengauer,54,Mexican,Ch3@gmail.com,On the Complementation Rule for Multivalued Dependencies in Database Relations.,1978,Information Sciences,Canada,309-8-1-100286-2,6.5709/1161181181072332,37,28,12,sequence alignment,gene finding,genome assembly,drug design
Christian Lengauer,54,Mexican,Ch3@gmail.com,Equational weighted tree transformations.,2012,Information Sciences,Canada,309-8-1-100286-2,6.5709/1161181181072332,37,28,14,sequence alignment,gene finding,genome assembly,drug design
Christian Lengauer,54,Mexican,Ch3@gmail.com,Merged processes: a new condensed representation of Petri net behaviour.,2006,Information Sciences,Israel,208-1-1-100197-6,1.6572/11011997118516,19,59,21,sequence alignment,gene finding,genome assembly,drug design
Christian Lengauer,54,Mexican,Ch3@gmail.com,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,2013,Information Sciences,Australia,789-8-0-100595-4,3.8268/114106971112461,53,166,28,sequence alignment,gene finding,genome assembly,drug design
Christian Lengauer,54,Mexican,Ch3@gmail.com,A Three-Stage Construction for Multiconnection Networks.,1983,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Alain Finkel,32,Scottish,Al7@gmail.com,Merged processes: a new condensed representation of Petri net behaviour.,2006,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Alain Finkel,32,Scottish,Al7@gmail.com,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,2013,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
Alain Finkel,32,Scottish,Al7@gmail.com,A Three-Stage Construction for Multiconnection Networks.,1983,International Conference on Machine Learning,Brazil,804-2-6-100367-8,1.216/991201081055995,38,189,3,Machine Learning,Deep learning,NPL,Reinforcement Learning
Alain Finkel,32,Scottish,Al7@gmail.com,The Expressive Power of Delay Operators in SCCS.,1991,IEEE Transactions on Cybernetics,Italy,222-4-14-100311-5,5.6164/11611197995254,78,117,4,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Annie Choquet,35,Mexican,An1@gmail.com,Merged processes: a new condensed representation of Petri net behaviour.,2006,Information Sciences,Canada,309-8-1-100286-2,6.5709/1161181181072332,37,28,14,sequence alignment,gene finding,genome assembly,drug design
Annie Choquet,35,Mexican,An1@gmail.com,A Three-Stage Construction for Multiconnection Networks.,1983,AAAI Conference on Artificial Intelligence,Israel,114-1-2-100068-3,9.4627/1141161181058171,67,108,6,Machine Learning,Deep learning,NPL,Reinforcement Learning
Annie Choquet,35,Mexican,An1@gmail.com,The Expressive Power of Delay Operators in SCCS.,1991,IEEE Transactions on Information Theory,Argetina,120-1-11-100766-8,2.6564/113981201095993,9,193,5,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Joachim Biskup,35,Norwegian,Jo3@gmail.com,Calculi for Interaction.,1996,IEEE Transactions on Image Processing,Brazil,741-5-14-100542-7,8.3886/101113120979356,3,172,14,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Symeon Bozapalidis,23,Finnish,Sy15@gmail.com,The Expressive Power of Delay Operators in SCCS.,1991,IEEE Transactions on Neural Networks and Learning Systems,Israel,841-0-19-100447-0,0.5555/1081171011067451,78,139,8,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Symeon Bozapalidis,23,Finnish,Sy15@gmail.com,Calculi for Interaction.,1996,IEEE Transactions on Wireless Communications,Italy,329-6-18-100771-1,0.7893/116108111109163,89,145,25,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Symeon Bozapalidis,23,Finnish,Sy15@gmail.com,A Synthesis of Several Sorting Algorithms.,1978,Annual Conference on Neural Information Processing Systems,Brazil,437-2-12-100288-0,1.7913/103109114976672,57,159,2,Machine Learning,Deep learning,NPL,Reinforcement Learning
George Rahonis,26,American,Ge1@gmail.com,Calculi for Interaction.,1996,IEEE Conference on Computer Vision and Pattern Recognition,Israel,208-1-1-100197-6,1.6572/11011997118516,19,59,21,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
George Rahonis,26,American,Ge1@gmail.com,A Synthesis of Several Sorting Algorithms.,1978,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
George Rahonis,26,American,Ge1@gmail.com,Trace- and failure-based semantics for responsiveness.,2014,European Conference on Computer Vision,Russia,253-5-13-100302-5,7.7955/1101221211108518,83,88,12,Computational Video,Image-based Rendering and Animation,3D Modelling of Humans,3D Scene Analysis
Victor Khomenko,59,Belgian,Vi5@gmail.com,Trace- and failure-based semantics for responsiveness.,2014,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Alex Kondratyev,23,Finnish,Al8@gmail.com,A Workload Model Representative of Static and Dynamic Characteristics.,1986,AAAI Conference on Artificial Intelligence,Israel,114-1-2-100068-3,9.4627/1141161181058171,67,108,6,Machine Learning,Deep learning,NPL,Reinforcement Learning
Alex Kondratyev,23,Finnish,Al8@gmail.com,Gray visiting Motzkins.,2002,Annual Conference on Neural Information Processing Systems,Brazil,437-2-12-100288-0,1.7913/103109114976672,57,159,2,Machine Learning,Deep learning,NPL,Reinforcement Learning
Alex Kondratyev,23,Finnish,Al8@gmail.com,Trace- and failure-based semantics for responsiveness.,2014,IEEE Transactions on Pattern Analysis and Machine Intelligence,Ecuador,738-8-4-100052-6,7.2263/1181101111226406,66,160,17,computational complexity,data structures,parallel and distributed computation,probabilistic computation
Maciej Koutny,20,Belgian,Ma8@gmail.com,Trace- and failure-based semantics for responsiveness.,2014,AAAI Conference on Artificial Intelligence,Israel,114-1-2-100068-3,9.4627/1141161181058171,67,108,6,Machine Learning,Deep learning,NPL,Reinforcement Learning
Maciej Koutny,20,Belgian,Ma8@gmail.com,Least Upper Bound on the Cost of Optimum Binary Search Trees.,1972,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Walter Vogler,19,German,Wa4@gmail.com,Trace- and failure-based semantics for responsiveness.,2014,Annual Conference on Neural Information Processing Systems,Brazil,437-2-12-100288-0,1.7913/103109114976672,57,159,2,Machine Learning,Deep learning,NPL,Reinforcement Learning
Walter Vogler,19,German,Wa4@gmail.com,Branching Processes in the Analysis of the Heights of Trees.,1987,Annual Conference on Neural Information Processing Systems,Brazil,437-2-12-100288-0,1.7913/103109114976672,57,159,2,Machine Learning,Deep learning,NPL,Reinforcement Learning
Wim H. Hesselink,49,Italian,Wi17@gmail.com,Branching Processes in the Analysis of the Heights of Trees.,1987,Science,Netherlands,175-0-1-100082-0,3.7004/1021181091066417,67,52,18,sequence alignment,gene finding,genome assembly,drug design
Christian Ronse,24,Canadian,Ch18@gmail.com,Least Upper Bound on the Cost of Optimum Binary Search Trees.,1972,IEEE Journal of Selected Areas in Communications,Germany,664-5-18-100102-7,8.69/991031061144082,6,125,6,Service and cloud computing,pervasive computing and collaboration,Energy lab,Scalable internet services
Christian Ronse,24,Canadian,Ch18@gmail.com,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,1976,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
Christian Ronse,24,Canadian,Ch18@gmail.com,Maximum Entropy and theG/G/1/NQueue.,1986,Annual Conference on Neural Information Processing Systems,Brazil,437-2-12-100288-0,1.7913/103109114976672,57,159,2,Machine Learning,Deep learning,NPL,Reinforcement Learning
Carol Critchlow,19,Irish,Ca7@gmail.com,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,1976,Conference on Empirical Methods in Natural Language Processing,Luxembourg,357-7-13-100621-7,3.4895/1161171201198977,37,81,22,type theory,automated theorem proving,language semantics,computer security
