AuthorName,Age,Nationality,email,ArticleTitle,YearPublished,JournalName,Location,ISBN,DOI,Volume,Npages,Edition,keyword1,keyword2,keyword3,keyword4
Sanjeev Saxena,47,Finnish,Sa13@gmail.com,NP-complete Problems Simplified on Tree Schemas.,2005,ACM Transactions on Database Systems,Canada,652-3-0-100702-8,5.8643/991031091186135,50,125,11,Numerical quadrature,concurrency,data transformation,Optimization
Hans Ulrich Simon,53,Finnish,Ha11@gmail.com,NP-complete Problems Simplified on Tree Schemas.,2009,Journal of Cryptology,Australia,819-2-11-100382-5,6.6117/117121115106231,51,104,17,digital health,domain-specific languages,Computational Video,digital technology for older people
Hans Ulrich Simon,53,Finnish,Ha11@gmail.com,A characterization of rational D0L power series.,2012,IEEE Transactions on Fuzzy Systems,Ecuador,817-4-9-100423-0,1.5277/97117110113105,2,37,12,Image-based Rendering and Animation,Biomedical Image Analysis,networking,Computer Vision
Nathan Goodman,39,Mexican,Na5@gmail.com,A characterization of rational D0L power series.,2006,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,Computer Vision,Mobile Protection,Service and cloud computing,Safe Computing
Nathan Goodman,39,Mexican,Na5@gmail.com,The Derivation of Systolic Implementations of Programs.,2014,Artificial Intelligence,Ecuador,884-2-10-100626-4,6.446/1011041061042659,25,157,15,Data cleaning,pervasive computing and collaboration,Numerical linear algebra,Robotics
Oded Shmueli,30,Scottish,Od16@gmail.com,On the Power of Chain Rules in Context Free Grammars.,2009,IEEE Transactions on Computers,Canada,196-7-0-100135-7,2.5793/1181021031108195,79,40,12,concurrency,distributed programming,Deep Learning,human-centred design in intelligent environments
Oded Shmueli,30,Scottish,Od16@gmail.com,Fifo Nets Without Order Deadlock.,2007,IEEE Transactions on Fuzzy Systems,Ecuador,817-4-9-100423-0,1.5277/97117110113105,2,37,12,Electronic warfare engineering,Service and cloud computing,Data cleaning,Scalable internet services
Norbert Blum,57,British,No5@gmail.com,On the Complementation Rule for Multivalued Dependencies in Database Relations.,2010,ACM Transactions on Graphics,Italy,457-8-10-100783-0,9.2664/1011171101154587,13,90,24,automata theory,Numerical quadrature,digital technology for older people,vision and graphics
Juha Honkala,31,German,Ju1@gmail.com,The Derivation of Systolic Implementations of Programs.,2006,ACM Transactions on Algorithms,Australia,464-1-18-100009-6,2.2853/105117991209420,46,58,14,automata theory,Deep Learning,database systems,computational biology
Chua-Huang Huang,59,Scottish,Ch9@gmail.com,Fifo Nets Without Order Deadlock.,2007,ACM Computing Surveys,Argetina,160-4-3-100721-5,2.9729/1151171171184545,65,30,11,computational complexity,Deep Learning,machine learning,Safe Computing
Chua-Huang Huang,59,Scottish,Ch9@gmail.com,On the Complementation Rule for Multivalued Dependencies in Database Relations.,2008,Machine Learning,Netherlands,187-6-5-100382-7,5.6142/100104991088801,85,138,12,Secure data processing,computer security,digital health,vision and graphics
