"","X.1","X","AuthorName","Age","Nationality","email","ArticleTitle","YearPublished","ConferenceName","Location","ISBN","DOI","Volume","Npages","Edition","keyword1","keyword2","keyword3","keyword4","Reviewer1","Decision1","Reviewer2","Decision2","Reviewer3","Decision3","EditionName","Review1Name","Review2Name","Review3Name"
"1",1,1,"Sanjeev Saxena",47,"Finnish","Sa13@gmail.com","Parallel Integer Sorting and Simulation Amongst CRCW Models.",1996,"Science","Netherlands","175-0-1-100082-0","3.7004/1021181091066417",67,52,18,"sequence alignment","gene finding","genome assembly","drug design","Timothy A. Budd",0,"Raphael A. Finkel",1,"Gian Luigi Ferrari",1,"Science 18","Timothy A. Budd reviews  Parallel Integer Sorting and Simulation Amongst CRCW Models.","Raphael A. Finkel reviews  Parallel Integer Sorting and Simulation Amongst CRCW Models.","Gian Luigi Ferrari reviews  Parallel Integer Sorting and Simulation Amongst CRCW Models."
"2",2,2,"Sanjeev Saxena",47,"Finnish","Sa13@gmail.com","Pattern Matching in Trees and Nets.",1983,"Nucleic Acids Research","Germany","566-2-10-100502-8","2.8449/1001031031061503",79,71,8,"sequence alignment","gene finding","genome assembly","drug design","Carol Critchlow",0,"Ugo Montanari",1,"Hsu-Chun Yen",0,"Nucleic Acids Research 8","Carol Critchlow reviews  Pattern Matching in Trees and Nets.","Ugo Montanari reviews  Pattern Matching in Trees and Nets.","Hsu-Chun Yen reviews  Pattern Matching in Trees and Nets."
"3",3,3,"Sanjeev Saxena",47,"Finnish","Sa13@gmail.com","On the Power of Chain Rules in Context Free Grammars.",1982,"AAAI Conference on Artificial Intelligence","Israel","114-1-2-100068-3","9.4627/1141161181058171",67,108,6,"Machine Learning","Deep learning","NPL","Reinforcement Learning","A. Michael Berman",0,"Liuba Shrira",1,"Emanuela Fachini",1,"AAAI Conference on Artificial Intelligence 6","A. Michael Berman reviews  On the Power of Chain Rules in Context Free Grammars.","Liuba Shrira reviews  On the Power of Chain Rules in Context Free Grammars.","Emanuela Fachini reviews  On the Power of Chain Rules in Context Free Grammars."
"4",4,4,"Hans Ulrich Simon",53,"Finnish","Ha11@gmail.com","Pattern Matching in Trees and Nets.",1983,"Annual Conference on Neural Information Processing Systems","Brazil","437-2-12-100288-0","1.7913/103109114976672",57,159,2,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Chua-Huang Huang",1,"Y. S. Tsai",0,"Grzegorz Rozenberg",0,"Annual Conference on Neural Information Processing Systems 2","Chua-Huang Huang reviews  Pattern Matching in Trees and Nets.","Y. S. Tsai reviews  Pattern Matching in Trees and Nets.","Grzegorz Rozenberg reviews  Pattern Matching in Trees and Nets."
"5",5,5,"Hans Ulrich Simon",53,"Finnish","Ha11@gmail.com","On the Power of Chain Rules in Context Free Grammars.",1982,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Michael Bertol",0,"Maria Calzarossa",1,"Mila E. Majster-Cederbaum",1,"IEEE Transactions on Cybernetics 4","Michael Bertol reviews  On the Power of Chain Rules in Context Free Grammars.","Maria Calzarossa reviews  On the Power of Chain Rules in Context Free Grammars.","Mila E. Majster-Cederbaum reviews  On the Power of Chain Rules in Context Free Grammars."
"6",6,6,"Nathan Goodman",39,"Mexican","Na5@gmail.com","NP-complete Problems Simplified on Tree Schemas.",1983,"International Conference on Machine Learning","Brazil","804-2-6-100367-8","1.216/991201081055995",38,189,3,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Nam H. Do",0,"Alexandre Brandwajn",1,"Graham Wrightson",1,"International Conference on Machine Learning 3","Nam H. Do reviews  NP-complete Problems Simplified on Tree Schemas.","Alexandre Brandwajn reviews  NP-complete Problems Simplified on Tree Schemas.","Graham Wrightson reviews  NP-complete Problems Simplified on Tree Schemas."
"7",7,7,"Nathan Goodman",39,"Mexican","Na5@gmail.com","On the Power of Chain Rules in Context Free Grammars.",1982,"IEEE Conference on Computer Vision and Pattern Recognition","Israel","208-1-1-100197-6","1.6572/11011997118516",19,59,21,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Frank Drewes",0,"Norbert Ramsperger",1,"Donald P. Gaver",0,"IEEE Conference on Computer Vision and Pattern Recognition 21","Frank Drewes reviews  On the Power of Chain Rules in Context Free Grammars.","Norbert Ramsperger reviews  On the Power of Chain Rules in Context Free Grammars.","Donald P. Gaver reviews  On the Power of Chain Rules in Context Free Grammars."
"8",8,8,"Oded Shmueli",30,"Scottish","Od16@gmail.com","A characterization of rational D0L power series.",2011,"International Conference on Machine Learning","Brazil","804-2-6-100367-8","1.216/991201081055995",38,189,3,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Ambuj K. Singh",1,"Susmit Jha",1,"Beverly A. Sanders",1,"International Conference on Machine Learning 3","Ambuj K. Singh reviews  A characterization of rational D0L power series.","Susmit Jha reviews  A characterization of rational D0L power series.","Beverly A. Sanders reviews  A characterization of rational D0L power series."
"9",9,9,"Oded Shmueli",30,"Scottish","Od16@gmail.com","The Derivation of Systolic Implementations of Programs.",1987,"International Conference on Computer Vision","Australia","789-8-0-100595-4","3.8268/114106971112461",53,166,28,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Michael L. Fredman",1,"Masataka Sassa",0,"Maria Rita Di Berardini",0,"International Conference on Computer Vision 28","Michael L. Fredman reviews  The Derivation of Systolic Implementations of Programs.","Masataka Sassa reviews  The Derivation of Systolic Implementations of Programs.","Maria Rita Di Berardini reviews  The Derivation of Systolic Implementations of Programs."
"10",10,10,"Norbert Blum",57,"British","No5@gmail.com","A characterization of rational D0L power series.",2011,"NeuroImage","Netherlands","358-5-8-100034-7","4.5742/1151041131209445",67,95,7,"sequence alignment","gene finding","genome assembly","drug design","Teuvo Laurinolli",0,"Jan Joris Vereijken",1,"Annie Choquet",0,"NeuroImage 7","Teuvo Laurinolli reviews  A characterization of rational D0L power series.","Jan Joris Vereijken reviews  A characterization of rational D0L power series.","Annie Choquet reviews  A characterization of rational D0L power series."
