"","X.1","X","AuthorName","Age","Nationality","email","ArticleTitle","YearPublished","JournalName","Location","ISBN","DOI","Volume","Npages","Edition","keyword1","keyword2","keyword3","keyword4","Reviewer1","Decision1","Reviewer2","Decision2","Reviewer3","Decision3","VolumeName","Review1Name","Review2Name","Review3Name"
"1",1,1,"Sanjeev Saxena",47,"Finnish","Sa13@gmail.com","NP-complete Problems Simplified on Tree Schemas.",2005,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"Numerical quadrature","concurrency","data transformation","Optimization","Joseph M. Morris",1,"Paul Pritchard",0,"George Humfeld",0,"ACM Transactions on Database Systems 50","Joseph M. Morris reviews  NP-complete Problems Simplified on Tree Schemas.","Paul Pritchard reviews  NP-complete Problems Simplified on Tree Schemas.","George Humfeld reviews  NP-complete Problems Simplified on Tree Schemas."
"2",2,2,"Hans Ulrich Simon",53,"Finnish","Ha11@gmail.com","NP-complete Problems Simplified on Tree Schemas.",2009,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"digital health","domain-specific languages","Computational Video","digital technology for older people","Demetres D. Kouvatsos",1,"Jacques Lenfant",0,"Bruce Russell",1,"Journal of Cryptology 51","Demetres D. Kouvatsos reviews  NP-complete Problems Simplified on Tree Schemas.","Jacques Lenfant reviews  NP-complete Problems Simplified on Tree Schemas.","Bruce Russell reviews  NP-complete Problems Simplified on Tree Schemas."
"3",3,3,"Hans Ulrich Simon",53,"Finnish","Ha11@gmail.com","A characterization of rational D0L power series.",2012,"IEEE Transactions on Fuzzy Systems","Ecuador","817-4-9-100423-0","1.5277/97117110113105","2","37",12,"Image-based Rendering and Animation","Biomedical Image Analysis","networking","Computer Vision","Elisabeth Pelz",0,"Ivan Hal Sudborough",0,"Thomas N. Hibbard",1,"IEEE Transactions on Fuzzy Systems 2","Elisabeth Pelz reviews  A characterization of rational D0L power series.","Ivan Hal Sudborough reviews  A characterization of rational D0L power series.","Thomas N. Hibbard reviews  A characterization of rational D0L power series."
"4",4,4,"Nathan Goodman",39,"Mexican","Na5@gmail.com","A characterization of rational D0L power series.",2006,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"Computer Vision","Mobile Protection","Service and cloud computing","Safe Computing","Chen-Ming Fan",0,"Yijie Han",1,"Ugo A. Buy",0,"Machine Learning 85","Chen-Ming Fan reviews  A characterization of rational D0L power series.","Yijie Han reviews  A characterization of rational D0L power series.","Ugo A. Buy reviews  A characterization of rational D0L power series."
"5",5,5,"Nathan Goodman",39,"Mexican","Na5@gmail.com","The Derivation of Systolic Implementations of Programs.",2014,"Artificial Intelligence","Ecuador","884-2-10-100626-4","6.446/1011041061042659","25","157",15,"Data cleaning","pervasive computing and collaboration","Numerical linear algebra","Robotics","Bruce Russell",0,"Robert T. Moenck",1,"Richard Hull 0001",1,"Artificial Intelligence 25","Bruce Russell reviews  The Derivation of Systolic Implementations of Programs.","Robert T. Moenck reviews  The Derivation of Systolic Implementations of Programs.","Richard Hull 0001 reviews  The Derivation of Systolic Implementations of Programs."
"6",6,6,"Oded Shmueli",30,"Scottish","Od16@gmail.com","On the Power of Chain Rules in Context Free Grammars.",2009,"IEEE Transactions on Computers","Canada","196-7-0-100135-7","2.5793/1181021031108195","79","40",12,"concurrency","distributed programming","Deep Learning","human-centred design in intelligent environments","Michiel H. M. Smid",1,"Qing Ding",0,"Ikuo Nakata",0,"IEEE Transactions on Computers 79","Michiel H. M. Smid reviews  On the Power of Chain Rules in Context Free Grammars.","Qing Ding reviews  On the Power of Chain Rules in Context Free Grammars.","Ikuo Nakata reviews  On the Power of Chain Rules in Context Free Grammars."
"7",7,7,"Oded Shmueli",30,"Scottish","Od16@gmail.com","Fifo Nets Without Order Deadlock.",2007,"IEEE Transactions on Fuzzy Systems","Ecuador","817-4-9-100423-0","1.5277/97117110113105","2","37",12,"Electronic warfare engineering","Service and cloud computing","Data cleaning","Scalable internet services","Peter E. Lauer",0,"Chua-Huang Huang",0,"Changwook Kim",1,"IEEE Transactions on Fuzzy Systems 2","Peter E. Lauer reviews  Fifo Nets Without Order Deadlock.","Chua-Huang Huang reviews  Fifo Nets Without Order Deadlock.","Changwook Kim reviews  Fifo Nets Without Order Deadlock."
"8",8,8,"Norbert Blum",57,"British","No5@gmail.com","On the Complementation Rule for Multivalued Dependencies in Database Relations.",2010,"ACM Transactions on Graphics","Italy","457-8-10-100783-0","9.2664/1011171101154587","13","90",24,"automata theory","Numerical quadrature","digital technology for older people","vision and graphics","Thomas P. Murtagh",0,"Maria Calzarossa",1,"P. F. Schuler",1,"ACM Transactions on Graphics 13","Thomas P. Murtagh reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations.","Maria Calzarossa reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations.","P. F. Schuler reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations."
"9",9,9,"Juha Honkala",31,"German","Ju1@gmail.com","The Derivation of Systolic Implementations of Programs.",2006,"ACM Transactions on Algorithms","Australia","464-1-18-100009-6","2.2853/105117991209420","46","58",14,"automata theory","Deep Learning","database systems","computational biology","Shyamal K. Chowdhury",1,"Gian Luigi Ferrari",0,"Michiel H. M. Smid",1,"ACM Transactions on Algorithms 46","Shyamal K. Chowdhury reviews  The Derivation of Systolic Implementations of Programs.","Gian Luigi Ferrari reviews  The Derivation of Systolic Implementations of Programs.","Michiel H. M. Smid reviews  The Derivation of Systolic Implementations of Programs."
"10",10,10,"Chua-Huang Huang",59,"Scottish","Ch9@gmail.com","Fifo Nets Without Order Deadlock.",2007,"ACM Computing Surveys","Argetina","160-4-3-100721-5","2.9729/1151171171184545","65","30",11,"computational complexity","Deep Learning","machine learning","Safe Computing","Thierry Fleury",0,"Rodney W. Topor",0,"Lars Jacobsen",0,"ACM Computing Surveys 65","Thierry Fleury reviews  Fifo Nets Without Order Deadlock.","Rodney W. Topor reviews  Fifo Nets Without Order Deadlock.","Lars Jacobsen reviews  Fifo Nets Without Order Deadlock."
"11",11,11,"Chua-Huang Huang",59,"Scottish","Ch9@gmail.com","On the Complementation Rule for Multivalued Dependencies in Database Relations.",2008,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"Secure data processing","computer security","digital health","vision and graphics","Frank Wm. Tompa",1,"Leonidas J. Guibas",1,"Zvi Galil",0,"Machine Learning 85","Frank Wm. Tompa reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations.","Leonidas J. Guibas reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations.","Zvi Galil reviews  On the Complementation Rule for Multivalued Dependencies in Database Relations."
